judul,penyanyi,tahun_rilis,label,genre,lirik,link
Sorak dan Puji Dia,Gretha Sihombing,2016,CMP Official,Pujian,"[intro]Biarlah semua bernyanyi Puji dengan segenap hati Tinggikan nama-Nya dan mashyurkan Dia Tinggikan nama-Nya dan mashyurkan Dia Selamanya [verse]Mainkan rebana dan kecapi Tari-tarian pun memuji Bagi-Mu Tuhanku Penebus yang kudus Bagi-Mu Tuhanku Penebus yang kudus Selamanya [chorus]Sorak, sorak puji Dia (sorak, sorak puji Dia, sorak, sorak puji Dia) Bernyanyi bagi-Nya Tuhan Allah kita Sorak, sorak puji Dia. Tuhan yang Penyayang berlimpah kasih-Nya",https://www.youtube.com/watch?v=AQrUqk56tgY
Jangan lelah,GKDI Worship,2023,GKDI Official,Pop,Jangan lelah bekerja di ladangnya Tuhan Roh Kudus yang beri kekuatan Yang mengajar dan menopang. Tiada lelah bekerja bersamaMu Tuhan Yang selalu mencukupkan Akan segalanya. Ratakan tanah bergelombang Timbunlah tanah yang berlubang Menjadi siap dibangun di atas dasar iman di atas dasar iman,https://www.youtube.com/watch?v=e8IETtz__1Q
Kandang Domba Itu RumahNya - Pop Rohani KK 183 - Live,"IGNITE GKI, GKI Maulana Yusuf",2024,Ignite GKI,Pop,"[Verse 1]Kandang domba itu rumah-Nya, palungan hewan petiduran-Nya; lahir dari Bunda Maria Pangeran Mahamulia. [Reff]Aku pun hendak ke Betlehem, supaya 'ku melihat-Nya di tempat yang hina dan rendah, Pangeran Mahamulia. [Verse 2]Bintang indah, hai tunjukkanlah di mana Yesus dan palungan-Nya. Hai gembala, bangun segera menengok Jurus'lamatmu. [Bridge]Pangeran Mahamulia. Yesus nama-Nya nama-Nya ... [Verse 3]Hai malaikat, pujilah terus kemuliaan Allah yang kudus. Bayi itulah Sang Penebus dan Jurus'lamat dunia.",https://www.youtube.com/watch?v=gV_PyJg3kZ0
Segumpal Debu,Mitha Talahatu,2022,Media Berkat Nusantara,Pop,Andai kupunya sayap bagai rajawali Ku kan terbang tinggi di atas awan Dan melihat indahnya dunia Yang Tuhan beri padaku. Tapi sayang ku tak berdaya Betapa kusadari kekuranganku Aku hanya manusia lemah dan rapuh Seringkali ku congkak berlagak perkasa Padahal aku segumpal debu Layakkah aku ini Tuhan Bila di hadapanmu Aku yang bernoda hina dan tercela Siapakah aku Tuhan Bila dibanding denganMu Kau yang bentangkan langit Dan letakkan dasar bumi Aku malu sujud di altarmu Tuhan,https://www.youtube.com/watch?v=CKfQtdVNbPM
WAKTU YANG TEPAT,Nathasya Gracia Stefani,2023,IWO,Pop,TAK SELALU TUHAN MENJAWAB DOA NAMUN DIA B'RI YANG TERBAIK DI WAKTU YANG TEPAT. IJINKANLAH TUHAN UNTUK BEKERJA YANG MUSTAHIL MENJADI MUNGKIN OLEH KAR'NA PERCAYA. YESUS MENDENGAR LEBIH DARI YANG KUDOAKAN YESUS MENJAWAB LEBIH DARI YANG KUHARAPKAN DENGAN CARA-NYA DI WAKTU YANG TEPAT KUKAN MELIHAT DIA JADIKAN SEMUA. KUKAN MELIHAT DIA JADIKAN SEMUA KUKAN MELIHAT DIA JADIKAN SEMUA,https://www.youtube.com/watch?v=Jw7x_gtVD1A
Sungguh Lembut Tuhan Yesus Memanggil - Pop Rohani KK 443 - Instrumental Live,"IGNITE GKI, GKI Youth Orchestra",2023,Ignite GKI,Pop,"[1] Sungguh lembut Tuhan Yesus memanggil, memanggil aku dan kau. Lihatlah Dia prihatin menunggu aku dan kau. [Reff] Hai mari datanglah, kau yang lelah, mari datanglah! Sungguh lembut Tuhan Yesus memanggil, Kau yang sesat, marilah! [2] Janganlah ragu, Tuhanmu mengajak, mengajak aku dan kau; Janganlah enggan menerima kasihNya terhadap aku dan kau. [3] Waktu serta kesempatan berlalu yang dib'ri aku dan kau; nanti gelap kematian membayang mengancam aku dan kau. [4]Yesus berjanji memb'rikan kasihNya kepada aku dan kau. Ia mengampuni orang berdosa seperti aku dan kau.",https://www.youtube.com/watch?v=cANGPqfHtwo
Tanpa Yesus Kita Binasa,Mitha Talahatu,2024,Sion Production,Pop,"Jangan ikut maunya dunia Semuanya hanya sementara. Jangan bersandar pada dunia Semuanya sia-sia belaka. Bersandarlah pada Yesus Dalam segala laku hidupmu Jadikan firman-Nya penuntun langkahmu Dalam Roh dan kebenaran. Dunia berikan kekuasaan, kekayaan, ketenaran Itu semua pasti akan binasa Hanya Yesus satu-satunya Jalan hidup dan keselamatan Hanya Dia sajalah. Dunia tawarkan banyak jalan kesenangan, kelimpahan Itu semua tipuan dunia semata Hanya Yesus satu-satunya Jalan hidup dan keselamatan Tanpa Yesus kita binasa",https://www.youtube.com/watch?v=BnfFL8qnaq4
Datang Pada Yesus,Mitha Talahatu,2024,Sion Production,Pop,Bagi yang terpuruk dan terluka batinmu Akibat masa lalu yang menyakitkanmu Jangan hukum dirimu Jangan salahkan dunia atau mereka Datang pada Yesus Dia mengasihimu Melegakanmu. Tak ada satupun manusia Yang luput dari dosa Kita semua dari tanah yang dibentuk jadi manusia. Harga dirimu tak dinilai dari luka Tuhan mengenalmu Kasih Tuhan engkau masih ada Bagi Tuhan engkau sangat berharga. Berapa lamakah lagi engkau pendam semua? Maafkan dirimu dan mereka Bertobat dan biarkan Tuhan bekerja Tuhan lepaskan Tak mempermalukanmu.,https://www.youtube.com/watch?v=_wrQbRWFQN0
Sekian Lama,Mitha Talahatu,2024,Sion Production,Pop,"Sekian lama aku berjalan, Tuhan Menyusuri jalan penuh dosa Hingga kulupakan Engkau, Tuhan Yang begitu besar mengasihiku. Hingga kulupakan Engkau, Tuhan Yang telah mati untuk keselamatanku. Ku tak ingin lagi, oh Tuhan Kaki ini berpijak di atas dosa Ku mau melayani-Mu, Tuhan Dengan talenta yang kumiliki Ku mau melayani-Mu, Tuhan Menjadi saksi bagi kemulian-Mu. Salib-Mu adalah salibku, Tuhan Beban-Mu adalah bebanku, Tuhan Salib-Mu adalah salibku, Tuhan Beban-Mu adalah bebanku, Tuhan. Peluk erat aku Tuhan Di dalam dekapan kasih-Mu Pimpin dan tuntunlah hidup ini Bersama-Mu Tuhan, aku tak tersesat..",https://www.youtube.com/watch?v=VibC1hVjhq0
Kami Memuji Kebesaran-Mu,Hosana Singers,2010,Maranatha Indonesia,Penyembahan,Kami memuji kebesaranMu ajaib Tuhan ajaib Tuhan Kami memuji kebesaranMu ajaib Tuhan ajaib Tuhan,https://www.youtube.com/watch?v=nEta-GWZUEg
Salib-Mu Menyelamatkanku,Mitha Talahatu,2024,Sion Production,Pop,"Oh kasihan, Anak Domba Allah Oleh pengkhianatan manusia Antara dosa dan murka Allah Tergantung Yesus di salib. Dia tetap diam saat dituduh Dipukul, dicemooh, diludahi Tunduk setia pada kehendak Bapa-Nya Dia menanggung mahkota duri. Oh Tuhan, Kau salah bagaimana Hukuman kami yang Kau tanggung Di salib terjadilah keselamatan Di salib cinta-Mu tercurah Mengalir darah-Mu yang suci Pengorbanan-Mu sangat berarti Kau Tuhan rela menanggung dosa kami Agar hidup kami jadi mulia",https://www.youtube.com/watch?v=lYmf7abu7JQ
Kau Tuhan Mengerti Lebih Dulu,Franky Sihombing,2007,Unknown,Pop,"SAAT KU BERJALAN SAAT KU BERLARI DARI JAUH ENGKAU SELIDIKI ENGKAU PAHAMI. SAAT AKU DUDUK SAAT KU BERBARING ENGKAU TAHU, ENGKAU MENGENALKU AKU ANAK-MU. [REFF]SEBELUM KU DIKANDUNG IBUKU KAU TELAH MENGENAL DIRIKU TIADA KU MAMPU JALANI HIDUPKU KAU TUHAN MENGERTI LEBIH DULU. WALAUPUN BANYAK YANG KUINGINKAN TERJADI DI DALAM HIDUPKU NAMUN KINI AKU MAU TETAP PERCAYA KAU TUHAN MENGERTI LEBIH DULU",https://www.youtube.com/watch?v=dXsAAGqjyPA 
Esok Hari,"Adrian Takndare, Kezia Azaria",2022,Impact Music,Pop,Janji Tuhan kekuatan hidupku Takkan goyah Kau selalu sertaku Hati dan pikiranku kepada-Mu Tuhan ada dan menolongku. Apa yang dilakukan terhadapku Dipandang rendah semua menolakku Hati dan pikiranku kepada-Mu Kupercaya Tuhan dipihakku. Percayalah esok hari lebih baik Percayalah Tuhan beri yang terbaik Jangan takut dengan apa yang terjadi Tuhan janji Dia pasti menyertai. Tuhan jaga Tuhan sayang Sama kita semuanya Jangan takut jangan bimbang Tuhan janji menyertai,https://www.youtube.com/watch?v=NPIQS0PIog4
Tuhan Tak Tinggalkan,Putri Siagian,2025,Sion Production,Pop,"Kemurahan-Mu Kesetiaan-Mu Lebih tinggi dari semua masalahku Kebaikan-Mu, Kekuatan-Mu Menjadikanku ada sampai hari ini. Tuhan tak tinggalkan Tuhan tak biarkan Meskipun di saat di titik terendahku. Tuhan tak tinggalkan Tuhan tak biarkan Meskipun tak mungkin Namun Engkau bekerja Yesus, Kau yang kuandalkan. Semua yang kulewati Membuatku semakin mengerti Apa yang aku alami Kusadari, Kau selalu menyertai",https://www.youtube.com/watch?v=eMxxPgouTfo
Tuhan Pasti Bersamaku,Putri Siagian,2024,Media Berkat Nusantara,Pop,Jalan hidup anak manusia Penuh dengan tantangan Cobaan datang silih berganti Menghantui jalan hidupku ini. Aku yakin dan aku percaya Tuhan pasti bersamaku Yang ada di setiap masa Dia hadir di setiap Waktu. Jalanlah Tuhan bersamaku Jalanlah Tuhan di depanku Naungi aku dengan sayapMu Agar ku melangkah penuh sukacita dalam anugerahMu,https://www.youtube.com/watch?v=g_uOG4tHZpg
Kekuatan Ada Pada-Mu,Putri Siagian,2025,Sion Production,Pop,"Kekuatanku ada pada-Mu Kau tahu lebih dan kurangku Kelegaanku ada pada-Mu Kau Bapaku yang mengerti diriku. Aku bisa memikul semua beban hidupku Bukan karena kuatku Namun Kau Tuhan yang meringankannya. Aku bisa melewati setiap pencobaan Bukan karena kuatku Namun Kau Tuhan yang memudahkannya. Kau yang kuasa atas segalanya Ku mau setia, setia, setia, dan setia Tubuh, jiwa, rohku berserah penuh Kau Bapa sumber kekuatanku. Aku bisa memikul semua beban hidupku Bukan karena kuatku Namun Kau Tuhan yang meringankannya. Aku bisa melewati setiap pencobaan Bukan karena kuatku Namun Kau Tuhan yang memudahkannya. Kekuatan, keajaiban, berada pada saatku berdoa Kekuatan, keajaiban, mujizat terjadi saat ku percaya Kekuatan keajaiban berada pada saatku berdoa Kekuatan keajaiban, mujizat terjadi saat ku percaya Mujizat terjadi saat ku percaya..",https://www.youtube.com/watch?v=uqwZg7zk778
